project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi
1,101 Mansion,Bang Kapi Bangkok,,1991.0,5.0,5.0,834.0,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,103 Central Condominium,155/4 Saraphi Chiang Mai,,1994.0,1.0,15.0,208.0,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
3,103 Condominium 1,Muang Chiang Mai Chiang Mai,,,1.0,4.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,103 Condominium 2,Muang Chiang Mai Chiang Mai,,,1.0,8.0,170.0,,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
5,103 Condominium 3,Muang Chiang Mai Chiang Mai,,2012.0,1.0,11.0,0.0,,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
6,103 Condominium 5,Muang Chiang Mai Chiang Mai,,,1.0,7.0,128.0,,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
7,107 Baring Condo,Muang Samut Prakarn Samut Prakarn,,,1.0,10.0,324.0,,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
8,125 SATHORN,Sathon Bangkok,3 m.,2026.0,2.0,36.0,755.0,,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
9,15 Suite,Watthana Bangkok,,1996.0,1.0,8.0,75.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
10,15 Sukhumvit Residences,Watthana Bangkok,,2013.0,1.0,25.0,514.0,40.0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0
11,168 Sukhumvit 36,Khlong Toei Bangkok,2.6 m.,2019.0,1.0,8.0,105.0,50.0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0
12,185 Ratchadamri,Pathum Wan Bangkok,3 m.,2014.0,2.0,35.0,265.0,80.0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1
13,28 Chidlom,Pathum Wan Bangkok,3.10 m.,2020.0,2.0,20.0,427.0,100.0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1
14,33 Tower,Watthana Bangkok,,1996.0,1.0,28.0,70.0,,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0
15,333 Riverside,Bang Sue Bangkok,2.7 m.,2017.0,3.0,4.0,950.0,,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1
16,38 Mansion,Khlong Toei Bangkok,,1992.0,1.0,17.0,137.0,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
17,39 Suite,Watthana Bangkok,,1996.0,1.0,9.0,60.0,,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
18,39 by Sansiri,Watthana Bangkok,,2010.0,1.0,32.0,178.0,45.0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0
19,49 Plus,Watthana Bangkok,,2005.0,1.0,9.0,77.0,,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
20,49 Plus 2,Watthana Bangkok,,2005.0,1.0,8.0,63.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
21,49 Suite,Watthana Bangkok,,1996.0,1.0,8.0,56.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0
22,59 Heritage,Watthana Bangkok,,2009.0,2.0,27.0,226.0,35.0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
23,624 Condolette Ladprao,Bang Kapi Bangkok,,2011.0,2.0,8.0,471.0,30.0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1
24,624 Condolette Ratchada 36,Chatuchak Bangkok,2.55 m.,2013.0,3.0,8.0,486.0,30.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
25,88 The Terminal,Bang Kruai Nonthaburi,2.4 m.,,1.0,12.0,278.0,35.0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
26,9 Sriracha,Si Racha Chonburi,,2013.0,1.0,7.0,73.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
27,98 wireless,Pathum Wan Bangkok,,2017.0,1.0,25.0,77.0,,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1
28,@ City Sukhumvit 101/1,Phra Khanong Bangkok,,2009.0,4.0,11.0,799.0,30.0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0
29,A Plus 2 @ Rattanathibet,Muang Nonthaburi Nonthaburi,2.4 m.,2015.0,1.0,8.0,134.0,39.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
30,A Plus Condo,Muang Nonthaburi Nonthaburi,,2014.0,1.0,8.0,69.0,,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
31,A Plus Inspire Rattanathibet 11,Muang Nonthaburi Nonthaburi,2.4 m.,2018.0,1.0,8.0,70.0,42.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
32,A Pool Bangna,Bang Na Bangkok,,2013.0,2.0,8.0,238.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
33,A Space Asoke - Ratchada,Din Daeng Bangkok,,2010.0,9.0,8.0,2177.0,35.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
34,A Space Hideaway Asoke - Ratchada,Din Daeng Bangkok,,2010.0,3.0,14.0,439.0,35.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
35,A Space ID Asoke - Ratchada,Din Daeng Bangkok,,2009.0,1.0,30.0,547.0,,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
36,A Space Kaset - Nawamin,Lat Phrao Bangkok,,2009.0,1.0,8.0,207.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
37,A Space ME Bangna,Bang Plee Samut Prakarn,,2015.0,1.0,26.0,945.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
38,A Space Me Rattanathibet,Muang Nonthaburi Nonthaburi,,2017.0,1.0,22.0,401.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0
39,A Space Me Sukhumvit 77,Suan Luang Bangkok,2.5 m.,2013.0,3.0,8.0,832.0,,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0
40,A Space Mega 2,Bang Plee Samut Prakarn,- m.,,2.0,29.0,1001.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1
41,A Space Play Ratchada - Sutthisarn,Huai Khwang Bangkok,,2009.0,3.0,8.0,499.0,35.0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
42,A Space Sukhumvit 77,Suan Luang Bangkok,,2007.0,8.0,7.0,1600.0,35.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
43,A space mega,Bang Plee Samut Prakarn,- m.,2022.0,1.0,35.0,1328.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
44,A.D Resort,Cha-Am Petchburi,,2014.0,5.0,8.0,1128.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
45,A.D Resort Cha am - Huahin,Cha-Am Petchburi,,,5.0,8.0,1090.0,,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0
46,AD Bangsaray Lake & Resort,Sattahip Chonburi,,2013.0,6.0,8.0,1257.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1
47,AD Hyatt,Bang Lamung Chonburi,,2011.0,1.0,33.0,521.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0
48,AD Racha Residence,Bang Lamung Chonburi,,2009.0,1.0,7.0,1353.0,,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
49,AD Wongamat,Bang Lamung Chonburi,,2011.0,1.0,35.0,488.0,,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
50,ADM Platinum Bay,Kathu Phuket,,2021.0,15.0,4.0,432.0,60.0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
51,ALBAR PENINSULA,Sattahip Chonburi,2.6 m.,2023.0,4.0,8.0,686.0,50.0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0
52,AMF Condominium,Phaya Thai Bangkok,,1991.0,1.0,8.0,101.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,ANDROMEDA Khao Phra Tamnak,Bang Lamung Chonburi,2.7 m.,2019.0,1.0,36.0,216.0,55.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
54,APUS Condominium,Bang Lamung Chonburi,,,2.0,,158.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
55,ARC condominium,Lak Si Bangkok,,,,,,,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
56,ARISE Condo Ratchada 19,Din Daeng Bangkok,2.4 m.,2019.0,1.0,8.0,132.0,50.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1
57,AROM JOMTIEN - PATTAYA,Bang Lamung Chonburi,,2026.0,2.0,45.0,314.0,70.0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0
58,AROM WONGAMAT,Bang Lamung Chonburi,3.2 m.,2024.0,1.0,55.0,319.0,70.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0
59,AROON,Bangkok Noi Bangkok,- m.,,1.0,8.0,61.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
60,ASHER PRIVÉ SUTTHISAN,Huai Khwang Bangkok,2.4 m.,2020.0,1.0,8.0,79.0,55.0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
61,ASHER Ratchada - Huai Khwang,Huai Khwang Bangkok,2.4 m.,2021.0,1.0,8.0,121.0,49.0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1
62,ASPIRE Rattanathibet-Weston,Muang Nonthaburi Nonthaburi,,2023.0,1.0,25.0,856.0,45.0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0
63,Aashiana Sukhumvit 26,Khlong Toei Bangkok,,2016.0,1.0,9.0,13.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
64,Abac Condotown,Saphan Sung Bangkok,,1994.0,1.0,58.0,587.0,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
65,Abaconi Living Condo (ABAC Bangna Campus),Bang Bo Samut Prakarn,,2013.0,1.0,8.0,71.0,,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
66,Ables Ladprao 27,Chatuchak Bangkok,- m.,2011.0,2.0,8.0,154.0,30.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
67,Abstracts Phahonyothin Park,Chatuchak Bangkok,,2012.0,3.0,34.0,1012.0,,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0
68,Abstracts Sukhumvit 66/1,Bang Na Bangkok,,2011.0,2.0,5.0,112.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0
69,Acadamia Grand Tower,Watthana Bangkok,,1993.0,1.0,21.0,98.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Acqua,Bang Lamung Chonburi,,2014.0,2.0,8.0,309.0,,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
71,Adamas Phahonyotin,Phaya Thai Bangkok,,2001.0,1.0,16.0,71.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Addera Chaengwattana,Pak Kret Nonthaburi,2.5 m.,2012.0,1.0,8.0,176.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
73,Aequa Sukhumvit 49,Watthana Bangkok,- m.,2012.0,1.0,28.0,153.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1
74,Aeras Pattaya,Bang Lamung Chonburi,2.7 m.,2018.0,2.0,4.0,309.0,,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0
75,Aguston Sukhumvit 22,Khlong Toei Bangkok,,2009.0,2.0,24.0,269.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1
76,Airlink Residence,Lat Krabang Bangkok,2.6 m.,2013.0,6.0,8.0,933.0,35.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
77,Airport Home Condominium,Muang Chiang Mai Chiang Mai,,2015.0,2.0,5.0,292.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
78,Akesin Place,Muang Nonthaburi Nonthaburi,- m.,2012.0,1.0,25.0,315.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
79,Akesin Tower,Muang Nonthaburi Nonthaburi,,2008.0,4.0,8.0,960.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
80,Aland Condo,Sai Noi Nonthaburi,,2022.0,2.0,8.0,691.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
81,Alisha Court,Bang Na Bangkok,- m.,2011.0,2.0,8.0,70.0,30.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
82,Aliss Tiwanon,Muang Nonthaburi Nonthaburi,- m.,2008.0,2.0,12.0,396.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
83,Aliss Wongwianyai,Khlong San Bangkok,- m.,2009.0,2.0,5.0,79.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
84,All Season Mansion,Pathum Wan Bangkok,,1998.0,1.0,33.0,206.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Altitude Define,Bang Rak Bangkok,2.45 m.,2019.0,1.0,8.0,59.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Altitude Samyan - Silom,Bang Rak Bangkok,- m.,2018.0,1.0,8.0,97.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0
87,Altitude Symphony Charoenkrung,Bang Kho Laem Bangkok,2.65 m.,2021.0,1.0,21.0,99.0,80.0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0
